,nickname,id,twit
0,핫둘,design023,#아편 #펜타닐 #마약치료 #마약근절 #중국 #히로인 #마약중독치료
1,Chocolate Mint,Chocola39934341,"한국 페미를 중국에 적극 수출을 지지합니다.

#청나라
#아편"
2,,,"We know that expanding your company across the globe can be overwhelming. That's where we come in. At G-P, we make it easy to hire anyone in 180+ countries, with just a few clicks 
#GPMeridian #EOR #GlobalMadePossible"
3,노컷뉴스,nocutnews,"경찰 ""씨앗 숨겼다가 이웃과 나눈 듯""
#양귀비 #마약류식물 #아편 #불법재배"
4,문화일보,Munhwa_inet,"당현종 후궁처럼 아름다워 ‘양귀비’… 아편의 원료로 최면제 등 사용

#양귀비 #꽃 #관상용 #아편 #모르핀 #진통제"
5,ISABEL이사벨3 점진적 #통일 #사랑유라시아시대,celestemalti,"대한민국  #마약중독 시키려고 작정란 놈들이  누구냐???

중국  청나라 무너트리기 위해 #아편 뿌렸던  영국처럼  하려고???
#아편전쟁 

사악한  미국 일본 유럽nato  
전쟁을 일으켜 이익을 챙기는 양아치들 

근본없고 품격없고 짐승보다 못한 자들이 #인권
개뿔이다"
6,우형준,mazdah70,"오늘의 아침 영상~ [딥펜과 키보드 ASMR] 2022년 12월 26일 아침을 여는 ASMR -  KBDFans D60 hhkb with Gateron Oil King
https://youtu.be/F6NmyZAvaFs #기계식키보드 #딥펜 #손글씨 #ASMR #브라우스 #스테노 #웬저앤뉴턴 #이육사 #아편 #KBDFans #D60 #hhkb #Gateron #OilKing #게이트론 #오일킹"
7,,,KUOSE의 콜렉션으로 옷장의 분위기를 바꿔보세요
8,도서출판 바른북스,barunbooks7,"바른북스 신간도서 《고양이 나라 이야기》

중국근대문학의 거장, 라오서의 《猫城記》를 번역하였다. 

https://blog.naver.com/barunbooks7/222930440514…
#바른북스 #신간도서 #고양이나라이야기 #라오서 #이행선 #왕방 #소설 #중국소설 #장편소설 #중국근대소설 #문화대혁명 #아편 #만주사변 #고양이 #중국문학 #사회풍자"
9,아레떼심리상담센타,alettesimlisan,"#대마 #아편 장애 자녀를 둔 부모 
1. 개념
 1) 대마 관련 장애: 정신 활성 효과가 있어 대마를 사용하거나 중독, 금단증상
 2) 아편 관련 장애: 필요한 양보다 과한 사용으로 인한 강박적으로 아편을 찾아 사용하거나 중독, 금단증상
2. #자녀양육
  - 물질 관련 장애에서 벗어날 수 있도록 지지하기"
10,한경 KVINA,KVINA_BizCenter,"중 규제당국 ""미성년자 게임 제한 철저히 하라""

https://kvina.co.kr/newsCenter/view.asp?articleId=A202109090136&pgCode=0300&utm_source=dable…
#중국 #규제당국 #미성년자 #게임 #제한 #아편 #텐센트 #넷이즈 #공산당 #세계 #글로벌 #해외 #뉴스"
11,딴지일보,ddanzis,"홍콩이 아편전쟁으로 인해 '역사의 전면'에 등장했다고 말한다. 영국이 판매한 아편으로 인해 청나라 사회 전역이 마비되었고, 이를 막으려고 하는 청나라와 판매를 진행하려는 영국이 충돌하며 아편전쟁이 일어났다고 말한다. 진실일까?   

https://ddanzi.com/ddanziNews/690716496…
#딴지 #중국 #영국 #아편 #전쟁"
12,silver-lining,pinotnoirjo,"Found some #opiumpoppies growing in my garden... #아편 도대체 넌 어디서 날라와서 왜 우리집마당에 자리를 잡은거니... 약사집마당에 아편이 자라고 있으면 어떡해야하나... @ Melbourne, Victoria, Australia https://instagram.com/p/CFEEnnJlhvIzsKX39Dy8yeXYr568slQvnYEHdY0/?igshid=123jcqdfhkdtv…"
13,"그러면 그렇지 진보는 무슨, 부패좌파지 ㅉㅉ",rhinoha,#사회주의 사상이야 말로 #아편 이다. 이미 실패한 시스템에 대한 미련을 버리지 못하는 중독성. 인류사의 해악
14,꼼수&꼼수,musamaci123,"영화 '박열'의 경고 생각 나는 '버닝썬 사태' 
#마약 #버닝썬 #황하나 #아편 #모르핀 김종성 기자 http://omn.kr/1ifrl
[역사로 보는 오늘의 이슈] 버닝썬과 마약, 국가권력"
15,오마이뉴스,OhmyNews_Korea,영화 '박열'의 경고 생각 나는 '버닝썬 사태' #마약 #황하나 #모르핀 #버닝썬 #아편 http://omn.kr/1ifrl 김종성 기자
16,정호희,baltong3,"- 동방박사가 아기예수에게 선물한 '몰약'은 뭘까?
- 중세 마녀는 왜 빗자루를 타고 날아다닐까?
- 암살집단 산중노인의 정체는?
- 마약 때문에 전 세계 GDP 1%가 사라진다?

 #마약 #승리 #정준영 #아편 #카페마약 #마약_카르텔 #마녀 #마르코폴로 #셜록홈즈 #링컨 #마약밀매 http://me2.do/x6M90rpu"
17,단어의 시작과 끝. 명언은 선물. 속담/사자성어는 덤.,wordrow_kr,[한자어 풀이] 阿偏(아편)의 뜻: 아첨하여 한쪽으로 치우침. #阿偏 #아편 #쪽한자 #아첨한자 #한쪽한자
18,,,햇살과 산들바람 사이를 거닐며 소소한 곳에서의 쾌적한 순간을 조용히 관찰해요.
19,오마이뉴스,OhmyNews_Korea,전례없는 공창제도로 국민 타락유도 #아편 #창기 #매춘 #조선총독부 김삼웅 기자 http://omn.kr/1auze
20,부패는 유능할 수 없다,RightTheMOON,댓글들 읽어보면 #일베 #댓글부대 #메크로 돈 줄은 #야쿠자머니 외에는 답이없다. 일본이 중국 먹으려 할 때 #아편 쓴것처럼 #대출은행_야쿠자머니   이용해서 한국민을 이간질시키려는 거지...거기에 #매국_친일_기득권들이 중간숙주역할...
21,,,"Free introductory course on all things blockchain with Andreas Antonopoulos and Antonis Polemitis.
Sign up today!"
22,화영(火靈),Fire_tail_fox,@C_JUN_PK ...#아편
23,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
24,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
25,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
26,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
27,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
28,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
29,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
30,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
31,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
32,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
33,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
34,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
35,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
36,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
37,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
38,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
39,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
40,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
41,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
42,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
43,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
44,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
45,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
46,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
47,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
48,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
49,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
50,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
51,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
52,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
53,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
54,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
55,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
56,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
57,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
58,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
59,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
60,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
61,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
62,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
63,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
64,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
65,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
66,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
67,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
68,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
69,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
70,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
71,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
72,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
73,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
74,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
75,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
76,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
77,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
78,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
79,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
80,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
81,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
82,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
83,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
84,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
85,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
86,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
87,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
88,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
89,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
90,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
91,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
92,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
93,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
94,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
95,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
96,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
97,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
98,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
99,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
100,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
101,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
102,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
103,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
104,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
105,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
106,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
107,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
108,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
109,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
110,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
111,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
112,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
113,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
114,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
115,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
116,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
117,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
118,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/UBGh)"
119,소중한 TV(JTBC America),sojoongtv,"오전 10시 9월 9일 (화) JTBC 9News가 방송 됩니다.
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
120,샤메이마루 아야 ,Shameimaru__Aya,@kanako_krrpa 예? #아편
121,아티초크 출판 & 스토어,artichokehouse,입생로랑의 향수 #아편 들 가운데 어떤 향이 #보들레르 #악의꽃 이미지에 가장 잘 어울릴까요? ^.^ #출간임박 #아티초크빈티지 http://artichokehouse.com
122,소중한 TV(JTBC America),sojoongtv,"오후 6시 15분, 9월 9일(화) JTBC America News 방송됩니다. 
http://sojoongtv.com
#jtbc #중앙일보 #김병일 #바이러스 #애플 #마라톤 #아편 #서성희"
123,소중한 TV(JTBC America),sojoongtv,"http://ustream.tv/recorded/52483543…
9월 9일(화) JTBC America News 방송. 
http://sojoongtv.com
#jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6"
124,소중한 TV(JTBC America),sojoongtv,"오전 10시, JTBC News 이 곧 방송됩니다. PLAY 버튼을 누르시면 바로 시청가능 합니다. #jtbc #손석희 #중앙일보 #귀경길 #아편 #감기약 #아이폰6 (Broadcasting live at http://ustre.am/U9eZ)"
